Title,Price,Location,URL
Blue foam board,50,"Nipomo, CA",https://www.facebook.com//marketplace/item/8023844857700281/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Xanadu Surfboard,60,"Grover Beach, CA",https://www.facebook.com//marketplace/item/1072399567731662/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"California Board Company 5'8"" Sushi Soft Surfboard",60,"Goleta, CA",https://www.facebook.com//marketplace/item/830827892049841/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Future Fins,60,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1194151948569340/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Bru Surf Softop,65,"Santa Margarita, CA",https://www.facebook.com//marketplace/item/839140101511201/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard Shortboards,65,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/1115064082933334/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
surfboards,65,"North Hollywood, CA",https://www.facebook.com//marketplace/item/1204032883957001/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Wavestorm Surfboard,70,"Bakersfield, CA",https://www.facebook.com//marketplace/item/1269861290643277/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Al Merrick Surfboard and Soft Racks,75,"Los Osos, CA",https://www.facebook.com//marketplace/item/3058851580916614/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
retro fish foamie,75,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/378534264809932/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Channel Islands surfboard,75,"Cayucos, CA",https://www.facebook.com//marketplace/item/1482120402408899/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
LOST MAYHEM SURFBOARD - 6’4” FISH TAIL,75,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/961648482084585/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
